date,AllPass (v5r),Rocket k=0.50
2007-01-03,100000.0,100000.0
2007-01-04,99820.29942801857,99820.29942801857
2007-01-05,98499.86530633736,98499.86530633736
2007-01-08,99118.71400781441,99118.71400781441
2007-01-09,99290.6525444584,99290.6525444584
2007-01-10,99875.06301729011,99875.06301729011
2007-01-11,101088.13784734535,101088.13784734535
2007-01-12,101771.27981607246,101771.27981607246
2007-01-16,101477.65900079536,101477.65900079536
2007-01-17,101122.49481717873,101122.49481717873
2007-01-18,99059.90685598183,99059.90685598183
2007-01-19,99213.23262977028,99213.23262977028
2007-01-22,98981.83720397377,98981.83720397377
2007-01-23,98840.57919310952,98840.57919310952
2007-01-24,99589.16202735329,99589.16202735329
2007-01-25,98626.80558394814,98626.80558394814
2007-01-26,98845.10183143044,98845.10183143044
2007-01-29,99010.8820806942,99010.8820806942
2007-01-30,99580.64336266136,99580.64336266136
2007-01-31,100308.15494312858,100308.15494312858
2007-02-01,101261.22875942802,101261.22875942802
2007-02-02,101708.38646092033,101708.38646092033
2007-02-05,101229.78083958244,101229.78083958244
2007-02-06,101625.92988103104,101625.92988103104
2007-02-07,101401.12450593186,101401.12450593186
2007-02-08,101169.2110137291,101169.2110137291
2007-02-09,100458.85665600968,100458.85665600968
2007-02-12,100555.68563740922,100555.68563740922
2007-02-13,99979.31990945817,99979.31990945817
2007-02-14,100688.96860731125,100688.96860731125
2007-02-15,100967.45358789444,100967.45358789444
2007-02-16,100442.06096494675,100442.06096494675
2007-02-20,100426.6651071663,100426.6651071663
2007-02-21,100788.66688100052,100788.66688100052
2007-02-22,100604.46491948319,100604.46491948319
2007-02-23,100928.38239613724,100928.38239613724
2007-02-26,99778.44455662918,99778.44455662918
2007-02-27,95106.01738924027,95106.01738924027
2007-02-28,95831.91712965774,95831.91712965774
2007-03-01,94976.64967303848,94976.64967303848
2007-03-02,93308.08029704666,93308.08029704666
2007-03-05,92877.81698318482,92877.81698318482
2007-03-06,94625.80930555344,94625.80930555344
2007-03-07,95936.85953748703,95936.85953748703
2007-03-08,97686.76778097916,97686.76778097916
2007-03-09,97471.43910380173,97471.43910380173
2007-03-12,99531.07944365311,99531.07944365311
2007-03-13,97719.95798559953,97719.95798559953
2007-03-14,97785.01881666947,97785.01881666947
2007-03-15,98444.77838869859,98444.77838869859
2007-03-16,98074.2086550789,98074.2086550789
2007-03-19,99018.20907660294,99018.20907660294
2007-03-20,100181.34802313615,100181.34802313615
2007-03-21,101093.80813856889,101093.80813856889
2007-03-22,101269.82970972825,101269.82970972825
2007-03-23,101326.73969622422,101326.73969622422
2007-03-26,100826.58747740556,100826.58747740556
2007-03-27,100044.72806235123,100044.72806235123
2007-03-28,99993.560083004,99993.560083004
2007-03-29,99862.30883750535,99862.30883750535
2007-03-30,100096.90000877,100096.90000877
2007-04-02,101208.11081466294,101208.11081466294
2007-04-03,102564.96556050873,102564.96556050873
2007-04-04,102441.76521928406,102441.76521928406
2007-04-05,103391.20572335816,103391.20572335816
2007-04-09,103359.09731538391,103359.09731538391
2007-04-10,103266.3161254654,103266.3161254654
2007-04-11,102196.6714800415,102196.6714800415
2007-04-12,102463.1302231369,102463.1302231369
2007-04-13,102891.58064351654,102891.58064351654
2007-04-16,103382.99565969086,103382.99565969086
2007-04-17,103054.56986508942,103054.56986508942
2007-04-18,102765.65517507172,102765.65517507172
2007-04-19,102333.2652748642,102333.2652748642
2007-04-20,102811.17196260071,102811.17196260071
2007-04-23,102961.27118955231,102961.27118955231
2007-04-24,101605.8303888855,101605.8303888855
2007-04-25,102371.83521188736,102371.83521188736
2007-04-26,102630.61933392716,102630.61933392716
2007-04-27,101682.91429375649,101682.91429375649
2007-04-30,101214.6327576542,101214.6327576542
2007-05-01,101667.11466557503,101667.11466557503
2007-05-02,102985.81878907204,102985.81878907204
2007-05-03,102651.1148582859,102651.1148582859
2007-05-04,102743.49548727609,102743.49548727609
2007-05-07,103212.69976526833,103212.69976526833
2007-05-08,103047.55162436105,103047.55162436105
2007-05-09,103436.03834730721,103436.03834730721
2007-05-10,102279.1167069111,102279.1167069111
2007-05-11,102893.52164465524,102893.52164465524
2007-05-14,103113.56950530052,103113.56950530052
