ticker,entry_date,exit_date,entry_px,exit_px,days_held,ret_net,weight,bet_eur,bet_frac,div_eur,exit_reason
GEF,2007-01-04,2007-01-19,58.375,53.26499938964844,10,-0.08753748368910597,1.0,9982.125,0.1,0.0,stop
AEIS,2007-01-04,2007-01-19,18.889999389648438,16.8799991607666,10,-0.10640552111310808,1.0,9992.809677124023,0.1,0.0,stop
ADEA,2007-01-04,2007-01-29,17.759967803955078,16.717817306518555,16,-0.05867975150295268,1.0,9998.861873626709,0.1,0.0,egg
MLKN,2007-01-04,2007-01-29,37.29999923706055,37.220001220703125,16,-0.0021447189810647194,1.0,9996.399795532227,0.1,0.0,egg
ETR,2007-01-04,2007-01-29,47.040000915527344,45.75,16,-0.027423488316760003,1.0,9972.480194091797,0.1,0.0,egg
CMCSA,2007-01-04,2007-02-06,13.448922157287598,13.367697715759277,22,-0.006039475920700976,1.0,9992.549162864685,0.1,0.0,sma
UCTT,2007-01-19,2007-02-20,13.760000228881836,13.430000305175781,21,-0.023982552195994433,1.0,9976.000165939331,0.1,0.0,sma
CNS,2007-02-20,2007-02-27,48.79999923706055,41.25,5,-0.15471310153887863,1.0,10101.599842071533,0.1,0.0,stop
RHP,2007-01-04,2007-02-28,51.650001525878906,52.25,37,0.011616620646573761,1.0,9968.450294494629,0.1,0.0,sma
TMO,2007-01-04,2007-02-28,45.63999938964844,45.5,37,-0.00306747133042673,1.0,9995.159866333008,0.1,0.0,sma
AMT,2007-01-29,2007-02-28,39.540000915527344,39.310001373291016,21,-0.005816882572352355,1.0,9924.540229797363,0.1,0.0,sma
MIDD,2007-01-29,2007-02-28,14.793510437011719,14.562885284423828,21,-0.015589616377387538,1.0,9926.445503234863,0.1,0.0,sma
KMX,2007-02-06,2007-03-01,28.7450008392334,26.09000015258789,16,-0.09236391056290238,1.0,10175.730297088623,0.1,0.0,stop
LMT,2007-01-04,2007-03-05,91.69000244140625,94.95999908447266,40,0.0356636116915372,1.0,9994.210266113281,0.1,38.15,sma
CBRL,2007-01-29,2007-03-06,46.11000061035156,45.619998931884766,25,-0.010626798351349276,1.0,9913.650131225586,0.1,0.0,sma
APOG,2007-02-28,2007-03-06,20.979999542236328,19.139999389648438,4,-0.08770258306648937,1.0,9566.879791259766,0.1,0.0,stop
HAS,2007-03-06,2007-03-28,29.299999237060547,29.65999984741211,16,0.012286710570838855,1.0,9375.999755859375,0.1,0.0,egg
