feature,n_buckets,prereg,dev_q_means,dev_spread,dev_rho,test_q_means,test_spread,test_rho,survives
votes,2,0,+0.031 +0.024,-0.006824749651794668,-0.01937088782148698,+0.018 -0.035,-0.05299944039538293,-0.034569024154892686,False
mean_r2,5,0,+0.038 +0.031 +0.046 +0.013 +0.020,-0.01820618751907791,-0.03261598922079484,+0.034 +0.020 -0.019 +0.015 +0.003,-0.030196779397376607,-0.0065906452975262085,True
tc_runway,5,1,+0.030 +0.042 +0.038 +0.038 +0.001,-0.028409599959091186,-0.10611315831532142,+0.025 +0.005 +0.052 +0.004 -0.021,-0.04571230711627762,-0.12596654561314935,True
p_m,3,0,+0.024 +0.035 +0.034,0.009592918391182932,0.03252533837947803,+0.000 +0.038 +0.021,0.020392072102709907,0.05573514907354874,False
p_w,3,0,+0.032 +0.029 +0.024,-0.007953820970743042,0.021016496725832792,+0.014 -0.005 +0.027,0.013115497984787762,0.052281934284175165,False
p_n,4,0,+0.038 +0.017 +0.042 -0.040,-0.07805119661300619,-0.09327755526221763,+0.030 -0.035 +0.014 -0.007,-0.036972346269125086,-0.10705912258887777,True
p_sigma,5,0,+0.033 +0.012 +0.042 +0.045 +0.018,-0.015043319334275839,-0.14809250959081036,+0.000 +0.007 +0.026 +0.011 +0.017,0.016156567634728124,-0.1790677921501897,False
osc_amp,5,0,+0.026 +0.039 +0.033 +0.033 +0.018,-0.007387131488137917,-0.06006503717886792,+0.005 +0.026 +0.025 +0.002 +0.008,0.0024396333759494947,-0.07847825648676439,False
damping,5,0,+0.042 +0.038 +0.021 +0.016 +0.031,-0.010904099588680015,-0.04317889196841491,+0.021 +0.047 +0.016 -0.010 -0.016,-0.0367970422661532,-0.01364059218537959,True
flag_age,5,-1,+0.043 +0.026 +0.029 +0.049 -0.003,-0.04596232467222414,0.005786228954665433,+0.036 -0.000 +0.020 -0.014 +0.001,-0.03520213343133018,0.020617647277375844,True
persist_depth,3,-1,+0.042 +0.008 +0.002,-0.039466463510820594,-0.04617223747453657,+0.021 -0.023 -0.004,-0.025348723162510724,0.010593099842569731,True
dip_depth,5,0,+0.012 +0.011 +0.046 +0.053 +0.027,0.015179049042211202,-0.026082781089171128,-0.001 +0.013 +0.020 +0.014 +0.019,0.019909737098407834,-0.06664256088259637,True
runup126,5,0,+0.030 +0.050 +0.017 +0.016 +0.035,0.005817697738700309,-0.13382779456240212,+0.004 -0.009 -0.002 +0.020 +0.027,0.02256439273878058,-0.09018083789156955,False
vol20,5,0,+0.027 +0.021 +0.023 +0.056 +0.023,-0.00409655894367774,-0.13042478426645143,-0.018 +0.039 +0.023 +0.010 +0.017,0.034568237935780684,-0.1805457420344217,False
rel_dip,5,0,+0.054 +0.035 -0.004 +0.015 +0.048,-0.005569325141847152,-0.1038726297049542,+0.028 +0.002 -0.016 +0.018 +0.028,0.0005350838153331747,-0.07305788503949831,False
