ticker,entry_date,exit_date,shares,entry_px,exit_px,gain_eur,fee_eur,tax_eur,days_held,exit_reason,ret_net
WHR,2005-12-29,2006-01-24,45.0,43.95741653442383,42.918636181287916,-71.54511589111621,12.4,0.0,16,egg,-0.035943582109129936
GWW,2005-12-29,2006-01-30,39.0,51.141571044921875,51.01325532596571,-29.80431303929072,12.4,0.0,20,sma,-0.014850763442316619
GOOG,2005-12-29,2006-02-02,192.0,10.373068809509277,9.969898407913863,-102.20871710631968,12.4,0.0,23,sma,-0.051001610417446226
GOOGL,2005-12-29,2006-02-02,191.0,10.42185115814209,10.016786256731848,-102.16739616935638,12.4,0.0,23,sma,-0.05100786033231822
TKR,2005-12-29,2006-02-02,134.0,14.91989517211914,14.461034152004553,-86.28737669535508,12.4,0.0,23,sma,-0.042893491617696726
BCO,2005-12-29,2006-02-10,95.0,21.01484489440918,21.23814346341842,-3.6266359441221994,12.44,0.0,29,sma,-0.0018053650996145206
WRB,2005-12-30,2006-02-10,306.0,6.490795135498047,6.539869049494482,-9.783382317091082,12.4,0.0,28,sma,-0.0048951586160961135
SM,2006-02-02,2006-02-10,43.0,36.07225799560547,32.024199990911015,-198.86649420186177,12.4,0.0,6,stop,-0.12719257558155772
NEM,2006-01-24,2006-02-15,49.0,38.67482376098633,37.28314861973464,-92.99208192133301,12.4,0.0,16,egg,-0.04875162344266452
FLS,2005-12-29,2006-02-16,104.0,9.560470581054688,11.86174905539643,220.76262640331163,12.4,0.0,33,strength,0.22066128211399028
GPN,2006-01-30,2006-02-22,84.0,23.526525497436523,23.146155790188622,-56.75105540882396,12.4,0.0,16,egg,-0.028537791564135
RJF,2005-12-30,2006-02-23,80.0,12.33792781829834,15.167759053173379,207.82500810677323,12.4,0.0,36,strength,0.20924879631276355
ADBE,2006-02-02,2006-02-27,52.0,39.38999938964844,38.4900016784668,-71.71988098144539,12.4,0.0,16,egg,-0.03480196141595488
THO,2005-12-30,2006-03-02,40.0,24.30228614807129,29.985145688848394,208.71438163108405,12.4,0.0,41,strength,0.21334581069979358
VRTX,2006-02-10,2006-03-07,27.0,35.900001525878906,43.380001068115234,183.472714913108,12.4,0.0,16,strength,0.18810242074465505
