size,period,positions,avg_invested,total,cagr,maxdd
0.1,dev,703,0.728148413280633,1.0709602906461138,0.06263115612416437,-0.24968783317801646
0.1,test,531,0.7639987598001576,1.4666327855918198,0.12566759306592057,-0.2305554832447252
0.11,dev,669,0.7558050426742348,1.1151041658002754,0.06450299735670151,-0.31338358697687574
0.11,test,501,0.7850285553181514,1.3332925736958847,0.11749529013264537,-0.28048190810022045
0.12,dev,632,0.7633893581840203,0.538195572872227,0.03658504254304318,-0.3200576875958844
0.12,test,469,0.7920609287698656,1.5764674738783393,0.13211579829030584,-0.2783363400814409
0.125,dev,587,0.7562195905389543,0.7252342269621086,0.046558431653401566,-0.25392938295215317
0.125,test,449,0.7932472313195866,1.3168901555032675,0.11646214416981215,-0.25255739282159384
0.14,dev,530,0.7459933655694343,0.753356512994398,0.04797141431089824,-0.24775414889681335
0.14,test,403,0.78176427925772,0.6966390896768262,0.07177164047056928,-0.28717633461510617
0.15,dev,492,0.7418034384499959,1.387088030026038,0.07530271807830191,-0.28523027842811444
0.15,test,382,0.7804666943235503,1.348324583703418,0.11843659077006263,-0.28239183021362035
0.16,dev,470,0.7547089520171898,1.174221519040282,0.06695445014124712,-0.30573575994808155
0.16,test,350,0.7850950216953363,1.5639043353510935,0.13139047215810074,-0.29630669525430287
0.18,dev,407,0.7291700119926425,0.6912972926705916,0.04482491266392241,-0.274109169540099
0.18,test,321,0.7699835605600115,0.26967414608490237,0.03179982371619672,-0.36705659541815605
0.2,dev,348,0.7152030465166913,0.7791755285165345,0.04925049880230792,-0.2828232414088194
0.2,test,282,0.7566146132188547,0.26335894646508917,0.031125485511806827,-0.4046990321061025
