date,mean_cash,days_flat,days_fully_in
2007,0.8547008834520462,0.2908366533864542,0.0
2008,0.9960221986899612,0.9683794466403162,0.0
2009,0.9533715904090532,0.6984126984126984,0.0
2010,0.9228936448817915,0.42063492063492064,0.0
2011,0.8669975629971617,0.4722222222222222,0.0
2012,0.7954207443461758,0.18,0.0
2013,0.7473448493573496,0.12301587301587301,0.0
2014,0.8857174400679404,0.30952380952380953,0.0
2015,0.8811777818949494,0.4801587301587302,0.0
2016,0.9514737542495648,0.6904761904761905,0.0
2017,0.8457598883323159,0.24701195219123506,0.0
2018,0.8335265056362322,0.350597609561753,0.0
2019,0.8722944027362263,0.3333333333333333,0.0
2020,0.9021713522406646,0.48221343873517786,0.0
2021,0.7219327804479618,0.0873015873015873,0.0
2022,0.9685882234298432,0.796812749003984,0.0
2023,0.7973321491346964,0.136,0.0
2024,0.6822130622311706,0.07539682539682539,0.0
2025,0.7997672412616851,0.372,0.0
2026,0.6837201790858176,0.024691358024691357,0.0
