date,mean_cash,days_flat,days_fully_in
2007,1.0,1.0,0.0
2008,1.0,1.0,0.0
2009,1.0,1.0,0.0
2010,1.0,1.0,0.0
2011,1.0,1.0,0.0
2012,0.9932007981379586,0.932,0.0
2013,0.9646810712952898,0.6706349206349206,0.0
2014,0.9649309684994275,0.6666666666666666,0.0
2015,1.0,1.0,0.0
2016,0.999210574499573,0.9920634920634921,0.0
2017,0.9205283702370801,0.4342629482071713,0.0
2018,0.958350820768162,0.5418326693227091,0.0
2019,0.9672469220242979,0.75,0.0
2020,0.9898339847181364,0.9090909090909091,0.0
2021,0.8646423801869307,0.6190476190476191,0.0
2022,0.9644325852430714,0.6533864541832669,0.0
2023,0.9485911314438616,0.68,0.0
2024,0.943686750891311,0.5674603174603174,0.0
2025,0.9701906249404335,0.664,0.0
2026,0.9615098911070715,0.5679012345679012,0.0
