date,mean_cash,days_flat,days_fully_in
2007,0.10520074888470649,0.00398406374501992,0.19123505976095617
2008,0.8813021491337766,0.6758893280632411,0.0
2009,0.5185076828466026,0.4246031746031746,0.1111111111111111
2010,0.21033676709084678,0.0,0.20634920634920634
2011,0.32583151678010097,0.23015873015873015,0.30158730158730157
2012,0.06852353681303115,0.0,0.3
2013,0.09359863055372573,0.0,0.14682539682539683
2014,0.10575673207196665,0.0,0.4087301587301587
2015,0.24935414359418692,0.0873015873015873,0.25
2016,0.24423575236254166,0.09523809523809523,0.19444444444444445
2017,0.1435946022838998,0.0,0.10756972111553785
2018,0.24100433881457303,0.0199203187250996,0.05976095617529881
2019,0.17398641455747396,0.09126984126984126,0.38095238095238093
2020,0.31974982534341,0.19367588932806323,0.14624505928853754
2021,0.1251326798659082,0.0,0.08333333333333333
2022,0.6838861476637614,0.5617529880478087,0.06772908366533864
2023,0.12803156866905754,0.02,0.156
2024,0.12721493404343673,0.0,0.25
2025,0.16522436261511086,0.0,0.408
2026,0.13588227174510617,0.0,0.2716049382716049
